Lien,type,prix,adresse,url_image
https://sn.coinafrique.com/annonce/chaussures-enfants/babouches-enfant-3231496,Babouches enfant,7000.0,"Hann Bel-Air, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-enfants/genouillere-anti-derapante-en-coton-5120586,Genouillère anti-dérapante en coton,,"Mermoz-Sacré Coeur, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3247099,Chaussures enfant,15000.0,"Grand Yoff, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-fille-3252340,Chaussures  fille,12500.0,"Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-5129146,Vêtements enfants,4500.0,"Mbao, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3267690,Chaussures enfant,3000.0,"Mermoz-Sacré Coeur, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3288165,Chaussures enfant,13500.0,"Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-5130020,Vêtements enfants,4500.0,"Mbao, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-3288168,Chaussures enfants,13500.0,"Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfant-5141487,Vêtement enfant,1000.0,"Sicap foire, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-3288174,Chaussures enfants,13500.0,"Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-enfant-de-1ans-jusqua-15ans-5116396,Ensemble pour enfant de 1ans jusqua 15ans,7000.0,"Colobane, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-3305453,Chaussures enfants,2500.0,"Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-mardi-gras-5171755,Ensemble mardi gras,8000.0,"Dakar Plateau, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3312395,Chaussures enfant,13500.0,"Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-enfants/djialabe-enfant-5196620,Djialabé enfant,8000.0,"Parcelle Assainies, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-enfants/baskets-enfants-3316031,Baskets enfants,7000.0,"Colobane, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-enfants/mocassins-enfant-3319920,Mocassins enfant,15000.0,"Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-enfants/dialabe-enfant-5181204,Dialabé enfant,10000.0,"Fass, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-enfants/baskets-enfants-3327812,Baskets enfants,7000.0,"Colobane, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-enfants/djialap-pour-enfant-de-4ans-jusqua-18ans-5181431,Djialap pour enfant de 4ans jusqua 18ans,6500.0,"Colobane, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-3331774,Chaussures enfants,,"Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-5225584,Robe enfant,,"Ouakam, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3336753,Chaussures enfant,5000.0,"Hann Bel-Air, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-5225585,Robe enfant,,"Ouakam, Dakar, Sénégal",
