Lien,type,prix,adresse,url_image
https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5658676,Chaussures  homme,12000.0,"Parcelle Assainies, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-homme/gilet-5657703,Gilet,8000.0,"Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-homme/pull-over-5657710,Pull-over,7000.0,"Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-homme/chemise-5657708,Chemise,7000.0,"Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-berluti-5659090,Chaussures Berluti,15000.0,"Diamalaye 1, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/vetements-homme/jacket-5657709,Jacket,14000.0,"Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-hommes-5659092,Chaussures hommes,15000.0,"Diamalaye 1, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5661667,Chaussures  homme,20000.0,"Colobane, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5661677,Chaussures  homme,20000.0,"Colobane, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-hommes-5662466,Chaussures hommes,17000.0,"Diamalaye 1, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-homme/mocassins-croco-5662701,Mocassins Croco,5500.0,"Yoff, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-homme/baskets-adidas-5662790,Baskets Adidas,25000.0,"Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5662799,Chaussures  homme,30000.0,"Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5662809,Chaussures  homme,20000.0,"Dakar Plateau, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-homme-5662812,Chaussures  homme,20000.0,"Dakar Plateau, Dakar, Sénégal",
https://sn.coinafrique.com/annonce/chaussures-homme/sandales-homme-5663265,Sandales homme,3500.0,"Parcelle Assainies, Dakar, Sénégal",
